ID_KEY;OBL;NU;KMB
011;10;Бюджет селища Коцюбинське;10206404000
011;11;Бюджет Бюджте селища Знам`янка;11202401000
011;12;Бюджет селища Боково-Платове;12203401000
011;13;Бюджет cелище Брюховичі;13201401000
011;14;Бюджет Арбузинський р-н;14301200000
011;15;Бюджет м.Білгород-Дністроського;15202100000
011;16;ЛУБНЫ;16204100000
011;17;Бюджет с. Білка;17301503000
011;18;Бюджет м. Ромни;18206100000
011;19;Бюджет с.Куряни;19301509000
011;20;Бюджет Червонозаводського району;20201609000
011;21;Бюджет м. Каховка;21202100000
011;22;с. В.Боровиця;22301501000
011;23;Бюджет Городищенського р-ну;23301200000
011;24;Бюджет с. Багна;24301501000
011;25;Бюджет с. Бахмач;25301501000
011;26;Бюджет Шевченківського району;26400610100
011;27;Бюджет с. Верхньосадове;27400602502
012;01;Бюджет с.Малоріченське;01202503000
012;02;БАР;02301301000
012;03;Бюджет с. Галинівка;03301504000
012;04;Бюджет м. Вільногірськ;04202100000
012;05;Бюджет м. Моспіне;05201701000
012;06;Бюджет Бровківської с\р;06301502000
012;07;Бюджет с.Боржава;07301506000
012;08;Бюджет с. Нововасилівка;08202501000
012;09;Бюджет с. Підбереж;09202504000
012;10;Бюджет м. Переяслав-Хмельницький;10207100000
012;11;Бюджет м. Світловодська;11204100000
012;12;Бюджет селища Верхній Нагольчик;12203402000
012;13;Бюджет м. Борислава;13202100000
012;14;Бюджет Арбузинської селищної ради;14301401000
012;15;Бюджет селища Затоки;15202401000
012;16;МИРГОРОД;16205100000
012;17;Бюджет с. Бистричі;17301502000
012;18;Бюджет м. Шостки;18207100000
012;19;Бюджет с.Лапшин;19301510000
012;20;Бюджет м. ізюма;20202100000
012;21;Бюджет м. Нова Каховка;21203100000
012;22;с. Воробiєвка;22301504000
012;23;Бюджет м. Городище;23301301000
012;24;Бюджет с. Банилів;24301502000
012;25;Бюджет с. Біловежі;25301502000
012;27;Зведений бюджет Балаклавського району;27400603000
013;01;Бюджет с.Привітне;01202505000
013;02;КОПАЙГОРОД;02301401000
013;03;Бюджет с. Заріччя;03301505000
013;04;Бюджет м. Дніпродзержинська;04203100000
013;05;Бюджет селища Ларине;05201401000
